WDIR,WSPD,GST,WVHT,dts
220,9.7192,11.66304,1.64,2023-06-12 21:30:00
220,7.77536,9.7192,1.64,2023-06-12 21:20:00
220,7.77536,9.7192,1.64,2023-06-12 21:10:00
230,5.83152,7.77536,1.64,2023-06-12 21:00:00
230,5.83152,7.77536,1.64,2023-06-12 20:50:00
240,5.83152,7.77536,1.64,2023-06-12 20:40:00
240,7.77536,9.7192,1.64,2023-06-12 20:30:00
250,7.77536,9.7192,1.64,2023-06-12 20:20:00
260,7.77536,9.7192,1.64,2023-06-12 20:10:00
270,7.77536,9.7192,1.64,2023-06-12 20:00:00
270,7.77536,9.7192,1.9679999999999997,2023-06-12 19:50:00
270,9.7192,11.66304,1.64,2023-06-12 19:40:00
280,9.7192,11.66304,1.9679999999999997,2023-06-12 19:30:00
280,9.7192,11.66304,1.9679999999999997,2023-06-12 19:20:00
290,9.7192,11.66304,1.9679999999999997,2023-06-12 19:10:00
290,9.7192,11.66304,1.9679999999999997,2023-06-12 19:00:00
290,9.7192,11.66304,1.9679999999999997,2023-06-12 18:50:00
290,7.77536,11.66304,1.9679999999999997,2023-06-12 18:40:00
300,7.77536,9.7192,1.9679999999999997,2023-06-12 18:30:00
310,7.77536,9.7192,1.9679999999999997,2023-06-12 18:20:00
310,9.7192,11.66304,2.296,2023-06-12 18:10:00
310,9.7192,13.60688,2.296,2023-06-12 18:00:00
310,11.66304,13.60688,2.296,2023-06-12 17:50:00
