WDIR,WSPD,GST,WVHT,dts
190.0,6.025904000000001,6.025904000000001,,2023-06-09 22:30:00
190.0,6.025904000000001,6.025904000000001,,2023-06-09 22:24:00
190.0,6.025904000000001,6.025904000000001,,2023-06-09 22:18:00
190.0,6.025904000000001,6.025904000000001,,2023-06-09 22:12:00
180.0,6.025904000000001,6.025904000000001,,2023-06-09 22:06:00
180.0,6.025904000000001,6.025904000000001,,2023-06-09 22:00:00
180.0,5.053984,6.025904000000001,,2023-06-09 21:54:00
200.0,4.082064,5.053984,,2023-06-09 21:48:00
200.0,5.053984,6.025904000000001,,2023-06-09 21:42:00
200.0,5.053984,6.025904000000001,,2023-06-09 21:36:00
200.0,5.053984,6.025904000000001,,2023-06-09 21:30:00
200.0,5.053984,6.025904000000001,,2023-06-09 21:24:00
210.0,5.053984,6.025904000000001,,2023-06-09 21:12:00
220.0,6.025904000000001,6.025904000000001,,2023-06-09 21:06:00
210.0,5.053984,6.025904000000001,,2023-06-09 21:00:00
210.0,5.053984,5.053984,,2023-06-09 20:54:00
210.0,5.053984,5.053984,,2023-06-09 20:48:00
210.0,5.053984,5.053984,,2023-06-09 20:42:00
210.0,5.053984,5.053984,,2023-06-09 20:36:00
210.0,5.053984,5.053984,,2023-06-09 20:30:00
200.0,5.053984,5.053984,,2023-06-09 20:24:00
190.0,5.053984,5.053984,,2023-06-09 20:18:00
190.0,5.053984,5.053984,,2023-06-09 20:12:00
210.0,4.082064,5.053984,,2023-06-09 20:06:00
220.0,5.053984,5.053984,,2023-06-09 20:00:00
220.0,4.082064,5.053984,,2023-06-09 19:54:00
220.0,4.082064,4.082064,,2023-06-09 19:48:00
220.0,4.082064,4.082064,,2023-06-09 19:42:00
210.0,4.082064,4.082064,,2023-06-09 19:36:00
210.0,4.082064,5.053984,,2023-06-09 19:30:00
210.0,4.082064,5.053984,,2023-06-09 19:24:00
220.0,4.082064,4.082064,,2023-06-09 19:18:00
220.0,4.082064,5.053984,,2023-06-09 19:12:00
220.0,4.082064,4.082064,,2023-06-09 19:06:00
220.0,4.082064,5.053984,,2023-06-09 19:00:00
220.0,4.082064,4.082064,,2023-06-09 18:54:00
220.0,4.082064,4.082064,,2023-06-09 18:48:00
230.0,4.082064,4.082064,,2023-06-09 18:42:00
240.0,4.082064,4.082064,,2023-06-09 18:36:00
240.0,4.082064,4.082064,,2023-06-09 18:30:00
240.0,4.082064,4.082064,,2023-06-09 18:24:00
240.0,4.082064,4.082064,,2023-06-09 18:18:00
250.0,4.082064,4.082064,,2023-06-09 18:12:00
250.0,4.082064,4.082064,,2023-06-09 18:06:00
250.0,4.082064,4.082064,,2023-06-09 18:00:00
250.0,2.91576,4.082064,,2023-06-09 17:54:00
250.0,2.91576,2.91576,,2023-06-09 17:48:00
250.0,2.91576,2.91576,,2023-06-09 17:42:00
260.0,1.94384,2.91576,,2023-06-09 17:36:00
