WDIR,WSPD,GST,WVHT,dts
330.0,5.053984,11.079888,,2023-06-08 17:42:00
330.0,5.053984,11.079888,,2023-06-08 17:36:00
290.0,5.053984,13.995648000000001,,2023-06-08 17:30:00
300.0,4.082064,8.941664,,2023-06-08 17:24:00
290.0,2.91576,6.9978240000000005,,2023-06-08 17:18:00
340.0,6.025904000000001,11.079888,,2023-06-08 17:12:00
320.0,6.025904000000001,8.941664,,2023-06-08 17:06:00
340.0,1.94384,9.913584,,2023-06-08 17:00:00
320.0,5.053984,11.079888,,2023-06-08 16:54:00
330.0,5.053984,8.941664,,2023-06-08 16:48:00
340.0,5.053984,8.941664,,2023-06-08 16:42:00
310.0,4.082064,7.9697439999999995,,2023-06-08 16:36:00
290.0,5.053984,8.941664,,2023-06-08 16:30:00
310.0,5.053984,6.9978240000000005,,2023-06-08 16:24:00
300.0,2.91576,8.941664,,2023-06-08 16:18:00
340.0,5.053984,6.9978240000000005,,2023-06-08 16:12:00
310.0,4.082064,7.9697439999999995,,2023-06-08 16:06:00
320.0,6.025904000000001,8.941664,,2023-06-08 16:00:00
280.0,5.053984,7.9697439999999995,,2023-06-08 15:54:00
280.0,5.053984,6.025904000000001,,2023-06-08 15:48:00
280.0,5.053984,6.9978240000000005,,2023-06-08 15:42:00
290.0,5.053984,6.9978240000000005,,2023-06-08 15:36:00
290.0,4.082064,6.9978240000000005,,2023-06-08 15:30:00
290.0,6.025904000000001,8.941664,,2023-06-08 15:24:00
280.0,5.053984,6.025904000000001,,2023-06-08 15:18:00
270.0,5.053984,6.025904000000001,,2023-06-08 15:12:00
280.0,4.082064,6.025904000000001,,2023-06-08 15:06:00
270.0,4.082064,6.9978240000000005,,2023-06-08 15:00:00
280.0,4.082064,5.053984,,2023-06-08 14:54:00
280.0,4.082064,6.025904000000001,,2023-06-08 14:48:00
280.0,4.082064,5.053984,,2023-06-08 14:42:00
280.0,4.082064,5.053984,,2023-06-08 14:36:00
270.0,4.082064,5.053984,,2023-06-08 14:30:00
270.0,4.082064,5.053984,,2023-06-08 14:24:00
270.0,2.91576,4.082064,,2023-06-08 14:18:00
260.0,0.97192,6.025904000000001,,2023-06-08 14:12:00
270.0,4.082064,6.025904000000001,,2023-06-08 14:06:00
250.0,2.91576,5.053984,,2023-06-08 14:00:00
350.0,0.97192,4.082064,,2023-06-08 13:54:00
300.0,1.94384,4.082064,,2023-06-08 13:48:00
300.0,1.94384,2.91576,,2023-06-08 13:42:00
360.0,0.97192,4.082064,,2023-06-08 13:36:00
10.0,2.91576,4.082064,,2023-06-08 13:30:00
60.0,1.94384,2.91576,,2023-06-08 13:24:00
30.0,1.94384,6.025904000000001,,2023-06-08 13:18:00
40.0,5.053984,6.025904000000001,,2023-06-08 13:12:00
30.0,2.91576,6.025904000000001,,2023-06-08 13:06:00
20.0,2.91576,5.053984,,2023-06-08 13:00:00
20.0,2.91576,6.025904000000001,,2023-06-08 12:54:00
30.0,2.91576,5.053984,,2023-06-08 12:48:00
360.0,1.94384,5.053984,,2023-06-08 12:42:00
20.0,1.94384,4.082064,,2023-06-08 12:36:00
40.0,1.94384,4.082064,,2023-06-08 12:30:00
20.0,1.94384,4.082064,,2023-06-08 12:24:00
50.0,2.91576,5.053984,,2023-06-08 12:18:00
30.0,0.97192,5.053984,,2023-06-08 12:12:00
40.0,2.91576,4.082064,,2023-06-08 12:06:00
50.0,4.082064,6.025904000000001,,2023-06-08 12:00:00
60.0,2.91576,2.91576,,2023-06-08 11:54:00
50.0,0.97192,1.94384,,2023-06-08 11:48:00
110.0,0.97192,0.97192,,2023-06-08 11:42:00
110.0,0.97192,1.94384,,2023-06-08 11:36:00
70.0,0.97192,0.97192,,2023-06-08 11:30:00
,0.0,0.97192,,2023-06-08 11:24:00
,0.0,1.94384,,2023-06-08 11:18:00
80.0,0.97192,1.94384,,2023-06-08 11:12:00
,0.0,0.97192,,2023-06-08 11:06:00
,0.0,0.97192,,2023-06-08 11:00:00
,0.0,1.94384,,2023-06-08 10:54:00
70.0,0.97192,1.94384,,2023-06-08 10:48:00
80.0,0.97192,1.94384,,2023-06-08 10:42:00
70.0,0.97192,1.94384,,2023-06-08 10:36:00
60.0,0.97192,1.94384,,2023-06-08 10:30:00
60.0,0.97192,1.94384,,2023-06-08 10:24:00
80.0,0.97192,1.94384,,2023-06-08 10:18:00
80.0,1.94384,2.91576,,2023-06-08 10:12:00
70.0,1.94384,2.91576,,2023-06-08 10:06:00
80.0,0.97192,1.94384,,2023-06-08 10:00:00
80.0,0.97192,1.94384,,2023-06-08 09:54:00
90.0,0.97192,1.94384,,2023-06-08 09:48:00
80.0,0.97192,1.94384,,2023-06-08 09:42:00
80.0,0.97192,1.94384,,2023-06-08 09:36:00
80.0,0.97192,1.94384,,2023-06-08 09:30:00
70.0,1.94384,2.91576,,2023-06-08 09:24:00
70.0,1.94384,2.91576,,2023-06-08 09:18:00
80.0,2.91576,2.91576,,2023-06-08 09:12:00
80.0,2.91576,4.082064,,2023-06-08 09:06:00
70.0,2.91576,4.082064,,2023-06-08 09:00:00
70.0,2.91576,4.082064,,2023-06-08 08:54:00
70.0,2.91576,4.082064,,2023-06-08 08:48:00
70.0,2.91576,4.082064,,2023-06-08 08:42:00
70.0,2.91576,4.082064,,2023-06-08 08:36:00
70.0,2.91576,4.082064,,2023-06-08 08:30:00
70.0,2.91576,4.082064,,2023-06-08 08:24:00
70.0,2.91576,4.082064,,2023-06-08 08:18:00
70.0,2.91576,4.082064,,2023-06-08 08:12:00
70.0,2.91576,2.91576,,2023-06-08 08:06:00
50.0,2.91576,4.082064,,2023-06-08 08:00:00
70.0,2.91576,4.082064,,2023-06-08 07:54:00
70.0,2.91576,4.082064,,2023-06-08 07:48:00
80.0,1.94384,2.91576,,2023-06-08 07:42:00
70.0,1.94384,2.91576,,2023-06-08 07:36:00
70.0,1.94384,2.91576,,2023-06-08 07:30:00
80.0,1.94384,4.082064,,2023-06-08 07:24:00
80.0,1.94384,4.082064,,2023-06-08 07:18:00
80.0,1.94384,2.91576,,2023-06-08 07:12:00
80.0,2.91576,4.082064,,2023-06-08 07:06:00
80.0,2.91576,4.082064,,2023-06-08 07:00:00
90.0,2.91576,4.082064,,2023-06-08 06:54:00
100.0,2.91576,4.082064,,2023-06-08 06:48:00
100.0,1.94384,2.91576,,2023-06-08 06:42:00
100.0,0.97192,1.94384,,2023-06-08 06:36:00
100.0,1.94384,2.91576,,2023-06-08 06:30:00
90.0,1.94384,2.91576,,2023-06-08 06:24:00
90.0,1.94384,2.91576,,2023-06-08 06:18:00
70.0,1.94384,6.025904000000001,,2023-06-08 06:12:00
60.0,2.91576,5.053984,,2023-06-08 06:06:00
50.0,2.91576,5.053984,,2023-06-08 06:00:00
60.0,2.91576,5.053984,,2023-06-08 05:54:00
60.0,1.94384,4.082064,,2023-06-08 05:48:00
,0.0,4.082064,,2023-06-08 05:42:00
30.0,1.94384,2.91576,,2023-06-08 05:36:00
,0.0,2.91576,,2023-06-08 05:30:00
60.0,1.94384,2.91576,,2023-06-08 05:24:00
50.0,0.97192,1.94384,,2023-06-08 05:18:00
60.0,2.91576,4.082064,,2023-06-08 05:12:00
40.0,0.97192,6.025904000000001,,2023-06-08 05:06:00
50.0,1.94384,4.082064,,2023-06-08 05:00:00
40.0,1.94384,5.053984,,2023-06-08 04:54:00
40.0,2.91576,5.053984,,2023-06-08 04:48:00
50.0,2.91576,5.053984,,2023-06-08 04:42:00
60.0,4.082064,5.053984,,2023-06-08 04:36:00
40.0,2.91576,5.053984,,2023-06-08 04:30:00
40.0,2.91576,6.025904000000001,,2023-06-08 04:24:00
40.0,2.91576,5.053984,,2023-06-08 04:18:00
20.0,1.94384,6.025904000000001,,2023-06-08 04:12:00
40.0,2.91576,5.053984,,2023-06-08 04:06:00
30.0,4.082064,6.025904000000001,,2023-06-08 04:00:00
40.0,4.082064,6.025904000000001,,2023-06-08 03:54:00
40.0,4.082064,5.053984,,2023-06-08 03:48:00
40.0,2.91576,5.053984,,2023-06-08 03:42:00
10.0,1.94384,6.9978240000000005,,2023-06-08 03:36:00
30.0,2.91576,5.053984,,2023-06-08 03:30:00
20.0,2.91576,5.053984,,2023-06-08 03:24:00
10.0,2.91576,5.053984,,2023-06-08 03:18:00
20.0,1.94384,6.025904000000001,,2023-06-08 03:12:00
30.0,2.91576,5.053984,,2023-06-08 03:06:00
30.0,4.082064,6.025904000000001,,2023-06-08 03:00:00
30.0,4.082064,6.025904000000001,,2023-06-08 02:54:00
30.0,4.082064,6.025904000000001,,2023-06-08 02:48:00
30.0,4.082064,6.025904000000001,,2023-06-08 02:42:00
30.0,4.082064,7.9697439999999995,,2023-06-08 02:36:00
40.0,4.082064,6.025904000000001,,2023-06-08 02:30:00
40.0,4.082064,6.9978240000000005,,2023-06-08 02:24:00
40.0,2.91576,8.941664,,2023-06-08 02:18:00
20.0,4.082064,7.9697439999999995,,2023-06-08 02:12:00
20.0,5.053984,6.025904000000001,,2023-06-08 02:06:00
20.0,5.053984,8.941664,,2023-06-08 02:00:00
20.0,5.053984,8.941664,,2023-06-08 01:54:00
10.0,4.082064,8.941664,,2023-06-08 01:48:00
360.0,2.91576,6.9978240000000005,,2023-06-08 01:42:00
10.0,5.053984,9.913584,,2023-06-08 01:36:00
360.0,6.9978240000000005,9.913584,,2023-06-08 01:30:00
10.0,5.053984,9.913584,,2023-06-08 01:24:00
10.0,6.025904000000001,12.051808000000001,,2023-06-08 01:18:00
20.0,5.053984,9.913584,,2023-06-08 01:12:00
360.0,4.082064,9.913584,,2023-06-08 01:06:00
360.0,5.053984,8.941664,,2023-06-08 01:00:00
10.0,6.9978240000000005,13.023728,,2023-06-08 00:54:00
10.0,4.082064,8.941664,,2023-06-08 00:48:00
10.0,4.082064,8.941664,,2023-06-08 00:42:00
360.0,5.053984,13.023728,,2023-06-08 00:36:00
10.0,6.9978240000000005,11.079888,,2023-06-08 00:30:00
20.0,6.9978240000000005,12.051808000000001,,2023-06-08 00:24:00
360.0,5.053984,12.051808000000001,,2023-06-08 00:18:00
360.0,5.053984,12.051808000000001,,2023-06-08 00:12:00
10.0,6.025904000000001,11.079888,,2023-06-08 00:06:00
360.0,4.082064,12.051808000000001,,2023-06-08 00:00:00
350.0,6.025904000000001,12.051808000000001,,2023-06-07 23:54:00
360.0,5.053984,9.913584,,2023-06-07 23:48:00
360.0,5.053984,9.913584,,2023-06-07 23:42:00
10.0,5.053984,9.913584,,2023-06-07 23:36:00
360.0,6.9978240000000005,12.051808000000001,,2023-06-07 23:30:00
10.0,6.025904000000001,11.079888,,2023-06-07 23:24:00
10.0,4.082064,11.079888,,2023-06-07 23:18:00
10.0,5.053984,11.079888,,2023-06-07 23:12:00
10.0,4.082064,11.079888,,2023-06-07 23:06:00
360.0,6.025904000000001,8.941664,,2023-06-07 23:00:00
10.0,8.941664,12.051808000000001,,2023-06-07 22:54:00
10.0,5.053984,12.051808000000001,,2023-06-07 22:48:00
340.0,6.9978240000000005,9.913584,,2023-06-07 22:42:00
10.0,6.025904000000001,12.051808000000001,,2023-06-07 22:36:00
10.0,6.9978240000000005,13.023728,,2023-06-07 22:30:00
10.0,6.025904000000001,11.079888,,2023-06-07 22:24:00
10.0,7.9697439999999995,13.023728,,2023-06-07 22:18:00
360.0,6.025904000000001,13.995648000000001,,2023-06-07 22:12:00
360.0,5.053984,11.079888,,2023-06-07 22:06:00
360.0,8.941664,14.967568,,2023-06-07 22:00:00
350.0,7.9697439999999995,14.967568,,2023-06-07 21:54:00
360.0,6.9978240000000005,13.023728,,2023-06-07 21:48:00
