WDIR,WSPD,GST,WVHT,dts
340,18.077712000000002,19.049632000000003,,2023-06-08 19:00:00
340,19.049632000000003,20.021552,,2023-06-08 18:50:00
350,17.105792,18.077712000000002,,2023-06-08 18:40:00
350,15.939487999999999,17.105792,,2023-06-08 18:30:00
350,15.939487999999999,19.049632000000003,,2023-06-08 18:20:00
340,15.939487999999999,17.105792,,2023-06-08 18:10:00
340,14.967568,15.939487999999999,,2023-06-08 18:00:00
340,14.967568,14.967568,,2023-06-08 17:50:00
340,15.939487999999999,17.105792,,2023-06-08 17:40:00
350,17.105792,18.077712000000002,,2023-06-08 17:30:00
340,14.967568,15.939487999999999,,2023-06-08 17:20:00
340,14.967568,15.939487999999999,,2023-06-08 17:10:00
340,13.023728,13.023728,,2023-06-08 17:00:00
340,13.995648000000001,14.967568,,2023-06-08 16:50:00
340,14.967568,14.967568,,2023-06-08 16:40:00
340,13.995648000000001,13.995648000000001,,2023-06-08 16:30:00
350,12.051808000000001,15.939487999999999,,2023-06-08 16:20:00
350,13.995648000000001,14.967568,,2023-06-08 16:10:00
340,13.023728,13.995648000000001,,2023-06-08 16:00:00
340,13.023728,13.995648000000001,,2023-06-08 15:50:00
340,12.051808000000001,13.023728,,2023-06-08 15:40:00
340,12.051808000000001,13.023728,,2023-06-08 15:30:00
340,13.023728,13.995648000000001,,2023-06-08 15:20:00
340,12.051808000000001,12.051808000000001,,2023-06-08 15:10:00
350,9.913584,12.051808000000001,,2023-06-08 15:00:00
340,12.051808000000001,13.995648000000001,,2023-06-08 14:50:00
340,13.023728,13.023728,,2023-06-08 14:40:00
350,12.051808000000001,13.995648000000001,,2023-06-08 14:30:00
350,12.051808000000001,12.051808000000001,,2023-06-08 14:20:00
350,12.051808000000001,13.023728,,2023-06-08 14:10:00
350,12.051808000000001,13.995648000000001,,2023-06-08 14:00:00
350,12.051808000000001,13.995648000000001,,2023-06-08 13:50:00
350,12.051808000000001,13.023728,,2023-06-08 13:40:00
350,9.913584,12.051808000000001,,2023-06-08 13:30:00
350,9.913584,11.079888,,2023-06-08 13:20:00
340,7.9697439999999995,8.941664,,2023-06-08 13:10:00
350,8.941664,9.913584,,2023-06-08 13:00:00
350,8.941664,11.079888,,2023-06-08 12:50:00
350,9.913584,11.079888,,2023-06-08 12:40:00
350,7.9697439999999995,9.913584,,2023-06-08 12:30:00
350,6.9978240000000005,6.9978240000000005,,2023-06-08 12:20:00
350,5.053984,5.053984,,2023-06-08 12:10:00
340,2.91576,4.082064,,2023-06-08 12:00:00
330,2.91576,4.082064,,2023-06-08 11:50:00
20,2.91576,4.082064,,2023-06-08 11:40:00
50,2.91576,4.082064,,2023-06-08 11:30:00
20,2.91576,5.053984,,2023-06-08 11:20:00
20,2.91576,4.082064,,2023-06-08 11:10:00
10,5.053984,5.053984,,2023-06-08 11:00:00
360,6.025904000000001,6.9978240000000005,,2023-06-08 10:50:00
350,6.025904000000001,6.9978240000000005,,2023-06-08 10:40:00
350,5.053984,7.9697439999999995,,2023-06-08 10:30:00
10,2.91576,2.91576,,2023-06-08 10:20:00
70,1.94384,1.94384,,2023-06-08 10:10:00
90,6.025904000000001,6.025904000000001,,2023-06-08 10:00:00
70,5.053984,6.025904000000001,,2023-06-08 09:50:00
70,6.025904000000001,6.9978240000000005,,2023-06-08 09:40:00
80,6.9978240000000005,7.9697439999999995,,2023-06-08 09:30:00
80,5.053984,7.9697439999999995,,2023-06-08 09:20:00
60,6.025904000000001,6.9978240000000005,,2023-06-08 09:10:00
60,7.9697439999999995,9.913584,,2023-06-08 09:00:00
60,8.941664,11.079888,,2023-06-08 08:50:00
70,6.9978240000000005,7.9697439999999995,,2023-06-08 08:40:00
60,7.9697439999999995,9.913584,,2023-06-08 08:30:00
60,6.025904000000001,8.941664,,2023-06-08 08:20:00
60,6.025904000000001,8.941664,,2023-06-08 08:10:00
60,6.9978240000000005,8.941664,,2023-06-08 08:00:00
60,6.9978240000000005,8.941664,,2023-06-08 07:50:00
60,6.025904000000001,7.9697439999999995,,2023-06-08 07:40:00
70,6.025904000000001,6.9978240000000005,,2023-06-08 07:30:00
80,6.025904000000001,6.9978240000000005,,2023-06-08 07:20:00
70,6.025904000000001,7.9697439999999995,,2023-06-08 07:10:00
80,6.025904000000001,6.9978240000000005,,2023-06-08 07:00:00
90,6.9978240000000005,7.9697439999999995,,2023-06-08 06:50:00
