WDIR,WSPD,GST,WVHT,dts
,0.0,0.0,,2023-06-09 23:00:00
,0.0,0.0,,2023-06-09 22:50:00
,0.0,0.0,,2023-06-09 22:40:00
,0.0,0.0,,2023-06-09 22:30:00
,0.0,0.0,,2023-06-09 22:20:00
,0.0,0.0,,2023-06-09 22:10:00
,0.0,0.0,,2023-06-09 22:00:00
,0.0,0.0,,2023-06-09 21:50:00
,0.0,0.0,,2023-06-09 21:40:00
,0.0,0.0,,2023-06-09 21:30:00
,0.0,0.0,,2023-06-09 21:20:00
,0.0,0.0,,2023-06-09 21:10:00
,0.0,0.0,,2023-06-09 21:00:00
,0.0,0.0,,2023-06-09 20:50:00
,0.0,0.0,,2023-06-09 20:40:00
,0.0,0.0,,2023-06-09 20:30:00
,0.0,0.0,,2023-06-09 20:20:00
,0.0,0.0,,2023-06-09 20:10:00
,0.0,0.0,,2023-06-09 20:00:00
,0.0,0.0,,2023-06-09 19:50:00
,0.0,0.0,,2023-06-09 19:40:00
,0.0,0.0,,2023-06-09 19:30:00
,0.0,0.0,,2023-06-09 19:20:00
260.0,1.94384,2.91576,,2023-06-09 19:10:00
,0.0,0.0,,2023-06-09 19:00:00
,0.0,1.94384,,2023-06-09 18:50:00
,0.0,0.0,,2023-06-09 18:40:00
250.0,1.94384,1.94384,,2023-06-09 18:30:00
250.0,1.94384,1.94384,,2023-06-09 18:20:00
,0.0,0.0,,2023-06-09 18:10:00
,0.0,0.0,,2023-06-09 18:00:00
,0.0,0.0,,2023-06-09 17:50:00
,0.0,0.0,,2023-06-09 17:40:00
,0.0,0.0,,2023-06-09 17:30:00
,0.0,0.0,,2023-06-09 17:20:00
,0.0,0.0,,2023-06-09 17:10:00
,0.0,0.0,,2023-06-09 17:00:00
,0.0,0.0,,2023-06-09 16:50:00
,0.0,0.0,,2023-06-09 16:40:00
290.0,1.94384,2.91576,,2023-06-09 16:30:00
,0.0,0.0,,2023-06-09 16:20:00
300.0,0.97192,1.94384,,2023-06-09 16:10:00
,0.0,0.0,,2023-06-09 16:00:00
,0.0,0.0,,2023-06-09 15:50:00
310.0,1.94384,2.91576,,2023-06-09 15:40:00
320.0,1.94384,2.91576,,2023-06-09 15:30:00
